Question,Answer
How can I help with the fever spreading through the village?,You can help by gathering specific rare herbs I need for my concoctions.
What's the biggest threat to the Whispering Woods right now?,"Currently, the biggest threat is the encroachment of outsiders who do not respect the balance of the forest."
How do you ensure that your practices are sustainable?,"I use sustainable harvesting techniques, rotate the areas where I gather herbs, and actively participate in reseeding efforts."
What's your relationship with the local wildlife?,"I maintain a respectful distance but have learned to understand their behaviors and needs, which helps in coexisting peacefully."
Have you ever discovered a previously unknown plant property?,"Yes, I recently found that the sap of the elderpine, when mixed with dew from a dawnflower, can enhance healing speed dramatically."
What's your favorite healing story?,"There was a young child, gravely ill, whom everyone had given up on. Using a rare combination of herbs, I managed to save her. She's now a vibrant part of our community."
How do you feel about the adventurers who visit Elderglen?,I appreciate their curiosity but often worry about their lack of respect for the forest.
What's the most complex potion you've ever concocted?,"A potion that involved five different herbs, two of which are extremely rare, and had to be brewed under the full moon."
What's the most dangerous herb in the forest?,The deathcap mushroom—it's extremely poisonous and should be handled with great care.
How do you deal with the changing seasons?,I prepare by storing enough supplies and making sure that I have all necessary remedies ready for the ailments common in each season.
Have you ever used your skills for something other than healing?,"Yes, I've used my knowledge to help resolve conflicts within the village by using truth-revealing herbs during discussions."
What are the spiritual beliefs of your people?,We believe in the sacredness of all life and the interconnectedness of every creature and plant in the forest.
Can you help me find a specific herb?,"Yes, what do you need it for? I can help you locate it or suggest an alternative."
What's the most important advice your mother gave you?,"She told me to always listen more than I speak, for the forest has much to teach if we only pay attention."
What's the most important plant in your medicine bag?,"Moonleaf, because of its versatility and potency in treating both physical and mystical ailments."
What's the most difficult part of your job?,Balancing my duties with the need to maintain my own health and well-being can be challenging.
Have you ever failed to heal someone?,"Yes, there have been times when despite my best efforts, the illness was too far advanced to reverse."
How do you deal with outsiders who threaten the woods?,I try to educate them about the importance of preserving our forest and its rules.
What's the biggest mistake you've made as a healer?,I once relied too heavily on a rare herb without realizing it was the last of its kind in that area. I now work to ensure sustainable use.
What's your favorite part of being a healer?,Helping others and seeing the forest thrive is deeply fulfilling to me.
How do you deal with invasive species?,"I actively remove them or find natural ways to control their spread, ensuring they don't disrupt the local ecosystem."
How do you celebrate successful healings?,"We celebrate with a small ceremony, thanking the forest for its gifts and sharing the success with the community."
Can you help me with a disease that's not responding to normal treatment?,Let's discuss the symptoms and history. I might know of or could develop a specialized treatment based on more obscure knowledge.
What dangers should I be aware of in the forest?,Beware of the venomous bracken thorns and the misleading paths that can cause one to get lost.
How do you deal with the loneliness of your profession?,"It can be lonely, but I find solace in the company of the forest and its creatures, and occasionally, interacting with travelers like you."
